# Color file
#
# Colors taken from: https://learn.microsoft.com/en-us/windows/terminal/customize-settings/color-schemes
#
# color name    true color  xterm   ansi    console 
# --------------------------------------------------
dark_red        #d70000     160     1       1
dark_green      #00af00     34      2       2
dark_yellow     #af8700     136     3       3
dark_blue       #005fd7     26      4       4
dark_purple     #8700af     91      5       5
dark_cyan       #5fafd7     74      6       6
light_red       #d75f5f     167     9       1
light_green     #00d700     40      10      2
light_yellow    #ffffaf     229     11      3
light_blue      #5f87ff     69      12      4
light_purple    #af0087     126     13      5
light_cyan      #5fd7d7     80      14      6
gray_0          #121212     233     0       0
gray_1          #303030     236     8       0
gray_2          #444444     238     8       0
gray_3          #585858     240     8       0
gray_4          #999999     246     7       7
gray_5          #cccccc     252     7       7
gray_6          #e5e5e5     254     7       7
gray_7          #eeeeee     255     15      7
